start_date_local,type,name,distance,moving_time,total_elevation_gain,average_speed,max_speed,average_heartrate,max_heartrate
2021-06-20T12:01:03Z,Ride,Afternoon Ride,38106.8,6585,141.0,5.787,13.1,107.6,160.0
2021-06-19T11:06:24Z,Ride,Afternoon Ride,115150.0,19912,421.0,5.783,14.8,119.9,176.0
2021-06-18T18:39:01Z,Ride,Evening Ride,35683.8,5745,110.0,6.211,13.0,128.2,171.0
2021-06-17T22:02:01Z,Ride,Night Ride,6722.7,1263,23.0,5.323,7.4,108.9,144.0
2021-06-16T12:02:29Z,Ride,Afternoon Ride,16711.8,2547,80.0,6.561,10.7,142.3,179.0
2021-06-14T18:35:55Z,Ride,Evening Ride,40192.4,5906,201.0,6.805,15.2,134.6,188.0
2021-06-14T12:10:03Z,Walk,Afternoon Walk,2299.1,1801,6.0,1.277,2.2,78.4,93.0
2021-06-13T11:18:18Z,Kayaking,Afternoon Kayaking,24696.6,14934,170.0,1.654,3.3,94.6,135.0
2021-06-12T10:34:06Z,Kayaking,Morning Kayaking,13153.4,13913,4.0,0.945,4.3,77.7,131.0
2021-06-10T18:49:04Z,Ride,Evening Ride,43071.9,7178,288.0,6.001,15.3,114.4,170.0
2021-06-09T12:23:18Z,Walk,Afternoon Walk,2349.0,1702,14.0,1.38,2.5,98.0,118.0
2021-06-02T17:44:49Z,Ride,Evening Ride,21710.9,4714,135.0,4.606,14.3,99.6,144.0
2021-06-02T12:05:09Z,Walk,Afternoon Walk,2317.5,1807,42.0,1.283,4.0,89.8,136.0
2021-05-25T08:46:54Z,Ride,Morning Ride,128757.0,29234,1418.0,4.404,13.4,125.5,170.0
2021-05-24T10:21:32Z,Ride,Morning Ride,110355.0,25812,868.0,4.275,13.2,114.6,157.0
2021-05-23T09:50:10Z,Ride,Morning Ride,141591.0,41818,1470.0,3.386,14.2,119.0,161.0
2021-05-22T06:51:25Z,Ride,Morning Ride,164125.0,37079,1342.0,4.426,12.8,127.2,175.0
2021-05-21T09:10:44Z,Ride,Morning Ride,173694.0,39712,1514.0,4.374,14.3,139.4,187.0
2021-05-20T15:27:18Z,Ride,Evening Ride,17617.6,3823,148.0,4.608,8.4,109.1,153.0
2021-05-19T14:19:13Z,Ride,Afternoon Ride,18553.8,3988,136.0,4.652,11.5,117.7,170.0
2021-05-17T21:06:15Z,Walk,Night Walk,4661.5,3527,10.0,1.322,4.1,91.1,121.0
2021-05-16T11:01:21Z,Ride,Afternoon Ride,27348.1,4265,133.0,6.412,14.1,123.9,159.0
2021-05-15T12:25:31Z,Ride,Afternoon Ride,115270.0,22229,668.0,5.186,15.8,118.7,162.0
2021-05-14T18:08:28Z,Ride,Evening Ride,50624.5,7205,297.0,7.026,16.7,161.8,185.0
2021-05-11T18:51:41Z,Ride,Evening Ride,36497.0,7308,273.0,4.994,12.3,119.3,185.0
2021-05-10T20:17:25Z,Ride,Evening Ride,34912.1,6519,239.0,5.355,12.1,122.1,170.0
2021-05-09T14:54:38Z,Ride,Afternoon Ride,101489.0,19050,472.0,5.328,15.0,131.7,182.0
2021-05-07T16:54:25Z,Ride,Evening Ride,37717.0,7307,245.0,5.162,12.5,135.2,188.0
2021-05-01T11:33:16Z,Ride,Afternoon Ride,103556.0,20978,741.0,4.936,15.4,127.5,189.0
2021-04-30T15:32:18Z,Run,Evening Run,5770.9,2123,48.0,2.718,4.1,149.7,183.0
2021-04-28T19:34:31Z,Ride,Evening Ride,3605.3,837,55.0,4.307,14.3,120.3,162.0
2021-04-28T17:26:21Z,Ride,Evening Ride,34463.3,5687,297.0,6.06,15.3,165.6,194.0
2021-04-25T12:24:17Z,Ride,Afternoon Ride,72531.6,12354,262.0,5.871,11.8,133.9,179.0
2021-04-24T12:02:29Z,Ride,Afternoon Ride,121536.0,20364,623.0,5.968,16.9,144.9,192.0
2021-04-21T19:30:23Z,Walk,Evening Walk,5523.7,4264,86.0,1.295,2.6,97.8,130.0
2021-04-20T18:32:00Z,Ride,Evening Ride,26514.6,4756,223.0,5.575,12.5,156.7,191.0
2021-04-19T20:31:22Z,Ride,Evening Ride,27975.4,6270,245.0,4.462,13.2,126.5,187.0
2021-04-18T10:54:15Z,Ride,Morning Ride,76836.0,14117,374.0,5.443,16.1,126.0,179.0
2021-04-17T12:42:08Z,Ride,Afternoon Ride,121603.0,26204,755.0,4.641,14.3,141.2,183.0
2021-04-16T20:20:13Z,Ride,Evening Ride,23580.4,4010,94.0,5.88,11.7,128.2,175.0
2021-04-14T20:19:57Z,Run,Evening Run,5785.9,2160,11.0,2.679,4.1,164.9,181.0
2021-04-11T13:09:19Z,Ride,Afternoon Ride,53448.5,10156,314.0,5.263,16.9,128.1,176.0
2021-04-10T11:52:14Z,Ride,Afternoon Ride,69856.5,12555,218.0,5.564,14.3,125.7,178.0
2021-04-10T10:51:33Z,Ride,Morning Ride,15752.7,2408,31.0,6.542,12.6,125.8,167.0
2021-04-09T19:03:36Z,Ride,Evening Ride,27456.2,6474,255.0,4.241,15.4,133.1,190.0
2021-04-08T21:31:37Z,Run,Night Run,6047.2,2477,20.0,2.441,4.1,138.6,156.0
2021-04-05T15:14:57Z,Run,Evening Run,6078.2,2333,45.0,2.605,6.2,150.0,183.0
2021-04-03T11:23:35Z,Ride,Afternoon Ride,65935.8,10352,154.0,6.369,13.5,159.2,188.0
2021-03-31T12:49:02Z,Ride,Afternoon Ride,105428.0,19307,524.0,5.461,17.1,147.5,186.0
2021-03-30T19:31:27Z,Ride,Evening Ride,37324.8,5814,209.0,6.42,12.2,146.2,181.0
2021-03-28T17:50:43Z,Ride,Evening Ride,20061.6,4188,89.0,4.79,12.5,117.9,173.0
2021-03-27T11:05:27Z,Ride,Afternoon Ride,80328.6,17241,221.0,4.659,14.0,132.9,172.0
2021-03-26T18:15:12Z,Ride,Evening Ride,52844.4,8606,154.0,6.14,13.6,153.0,190.0
2021-03-20T21:38:12Z,Ride,Night Ride,2965.3,613,59.0,4.837,8.0,117.1,153.0
